,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,삼성전자,HMM,두산중공업,남양유업,대한전선,삼성바이오로직스,카카오,삼성제약,박셀바이오,삼성스팩4호,삼성SDI,현대차,셀트리온,넥스트아이,한국전력,LG화학,SK하이닉스,신라젠,씨젠,참좋은여행,LG디스플레이,SK아이이테크놀로지,삼성스팩2호,엠투엔,대한항공,NAVER,삼성전자우,유바이오로직스,SM C&C,삼성중공업
1,005930,011200,034020,003920,001440,207940,035720,001360,323990,377630,006400,005380,068270,137940,015760,051910,000660,215600,096530,094850,034220,361610,291230,033310,003490,035420,005935,206650,048550,010140

